Sub-Category,Sales,Region,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Product ID,Category,Product Name
Phones,43.6,West,CA-2016-159709,Standard Class,AI-10855,Arianne Irving,Consumer,United States,Kent,Washington,TEC-PH-10003988,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
Phones,44.736000000000004,West,US-2018-125402,Standard Class,DL-12865,Dan Lawera,Consumer,United States,Long Beach,California,TEC-PH-10003356,Technology,"SmartStand Mobile Device Holder, Assorted Colors"
Phones,46.384,West,CA-2016-115889,Standard Class,SH-20395,Shahid Hopkins,Consumer,United States,San Francisco,California,TEC-PH-10001615,Technology,AT&T CL82213
Phones,47.976,West,CA-2019-169901,Standard Class,CC-12550,Clay Cheatham,Consumer,United States,San Francisco,California,TEC-PH-10002293,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
Phones,49.61600000000001,West,US-2019-112347,Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,TEC-PH-10000213,Technology,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black
Phones,52.67999999999999,West,CA-2016-129364,Standard Class,TB-21250,Tim Brockman,Consumer,United States,Salem,Oregon,TEC-PH-10003095,Technology,Samsung HM1900 Bluetooth Headset
Phones,52.792,West,CA-2016-134726,Second Class,SW-20755,Steven Ward,Corporate,United States,Seattle,Washington,TEC-PH-10001750,Technology,Samsung Rugby III
Phones,52.792,West,CA-2019-114804,Second Class,BF-11020,Barry Französisch,Corporate,United States,Modesto,California,TEC-PH-10001700,Technology,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
Phones,55.176,West,US-2018-139486,First Class,LH-17155,Logan Haushalter,Consumer,United States,Los Angeles,California,TEC-PH-10003555,Technology,Motorola HK250 Universal Bluetooth Headset
Phones,55.992,West,CA-2018-162110,Standard Class,NP-18670,Nora Paige,Consumer,United States,Phoenix,Arizona,TEC-PH-10001924,Technology,iHome FM Clock Radio with Lightning Dock
Phones,57.36,West,US-2019-112347,Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,TEC-PH-10004833,Technology,Macally Suction Cup Mount
Phones,57.40800000000001,West,CA-2016-135993,Standard Class,PJ-18835,Patrick Jones,Corporate,United States,Seattle,Washington,TEC-PH-10001552,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
Phones,57.568,West,CA-2019-133207,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Los Angeles,California,TEC-PH-10004100,Technology,Griffin GC17055 Auxiliary Audio Cable
Phones,61.192,West,CA-2018-166226,Standard Class,TC-21535,Tracy Collins,Home Office,United States,Los Angeles,California,TEC-PH-10003357,Technology,Grandstream GXP2100 Mainstream Business Phone
Phones,66.97600000000001,West,CA-2018-139934,First Class,AY-10555,Andy Yotov,Corporate,United States,San Francisco,California,TEC-PH-10001552,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
Phones,67.04,West,CA-2019-115931,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Carlsbad,New Mexico,TEC-PH-10001300,Technology,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4"
Phones,68.72000000000001,West,CA-2017-156146,Second Class,AG-10495,Andrew Gjertsen,Corporate,United States,Peoria,Arizona,TEC-PH-10001527,Technology,Plantronics MX500i Earset
Phones,71.92800000000001,West,US-2019-158505,Same Day,SF-20200,Sarah Foster,Consumer,United States,Murray,Utah,TEC-PH-10004071,Technology,PayAnywhere Card Reader
Phones,71.952,West,CA-2019-136623,Standard Class,TS-21430,Tom Stivers,Corporate,United States,San Diego,California,TEC-PH-10000004,Technology,Belkin iPhone and iPad Lightning Cable
Phones,71.96,West,CA-2019-136007,Standard Class,AC-10615,Ann Chong,Corporate,United States,Seattle,Washington,TEC-PH-10003589,Technology,invisibleSHIELD by ZAGG Smudge-Free Screen Protector
Phones,71.96,West,CA-2019-151225,First Class,JM-15655,Jim Mitchum,Corporate,United States,Los Angeles,California,TEC-PH-10004100,Technology,Griffin GC17055 Auxiliary Audio Cable
Phones,71.976,West,CA-2018-103107,Same Day,RB-19465,Rick Bensley,Home Office,United States,Seattle,Washington,TEC-PH-10002564,Technology,OtterBox Defender Series Case - Samsung Galaxy S4
Phones,71.976,West,CA-2018-166163,Second Class,CY-12745,Craig Yedwab,Corporate,United States,Oakland,California,TEC-PH-10004896,Technology,Nokia Lumia 521 (T-Mobile)
Phones,71.976,West,CA-2019-119424,Second Class,SB-20185,Sarah Brown,Consumer,United States,Kent,Washington,TEC-PH-10002564,Technology,OtterBox Defender Series Case - Samsung Galaxy S4
Phones,71.976,West,CA-2019-166093,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Brentwood,California,TEC-PH-10002564,Technology,OtterBox Defender Series Case - Samsung Galaxy S4
Phones,72.74400000000001,West,CA-2017-124058,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Oakland,California,TEC-PH-10004774,Technology,Gear Head AU3700S Headset
Phones,73.584,West,CA-2018-109806,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,TEC-PH-10004093,Technology,Panasonic Kx-TS550
Phones,73.584,West,US-2016-120313,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,San Francisco,California,TEC-PH-10003092,Technology,Motorola L804
Phones,79.92000000000002,West,CA-2019-108574,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Los Angeles,California,TEC-PH-10000702,Technology,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"
Phones,79.96,West,US-2019-142188,Same Day,JF-15415,Jennifer Ferguson,Consumer,United States,Seattle,Washington,TEC-PH-10000127,Technology,iOttie XL Car Mount
Phones,79.968,West,CA-2016-119144,First Class,JD-16150,Justin Deggeller,Corporate,United States,Los Angeles,California,TEC-PH-10004188,Technology,OtterBox Commuter Series Case - Samsung Galaxy S4
Phones,83.98400000000001,West,CA-2016-156349,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Los Angeles,California,TEC-PH-10002726,Technology,netTALK DUO VoIP Telephone Service
Phones,83.98400000000001,West,US-2016-134733,Standard Class,BM-11650,Brian Moss,Corporate,United States,San Diego,California,TEC-PH-10002726,Technology,netTALK DUO VoIP Telephone Service
Phones,84.784,West,CA-2018-134544,Second Class,AC-10660,Anna Chung,Consumer,United States,San Francisco,California,TEC-PH-10003800,Technology,i.Sound Portable Power - 8000 mAh
Phones,84.784,West,CA-2019-101308,Standard Class,FG-14260,Frank Gastineau,Home Office,United States,Seattle,Washington,TEC-PH-10003800,Technology,i.Sound Portable Power - 8000 mAh
Phones,84.784,West,US-2018-156986,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Salem,Oregon,TEC-PH-10003800,Technology,i.Sound Portable Power - 8000 mAh
Phones,86.352,West,CA-2019-139080,Standard Class,CS-12250,Chris Selesnick,Corporate,United States,Seattle,Washington,TEC-PH-10004100,Technology,Griffin GC17055 Auxiliary Audio Cable
Phones,87.8,West,US-2017-142811,Standard Class,JL-15850,John Lucas,Consumer,United States,Mesa,Arizona,TEC-PH-10003095,Technology,Samsung HM1900 Bluetooth Headset
Phones,87.96,West,US-2017-131359,Second Class,FA-14230,Frank Atkinson,Corporate,United States,Denver,Colorado,TEC-PH-10004531,Technology,OtterBox Commuter Series Case - iPhone 5 & 5s
Phones,88.752,West,CA-2017-145821,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Los Angeles,California,TEC-PH-10004348,Technology,OtterBox Defender Series Case - iPhone 5c
Phones,88.77600000000001,West,CA-2017-151253,Standard Class,AZ-10750,Annie Zypern,Consumer,United States,Los Angeles,California,TEC-PH-10002923,Technology,"Logitech B530 USB Headset - headset - Full size, Binaural"
Phones,88.77600000000001,West,CA-2019-131828,Second Class,CS-11845,Cari Sayre,Corporate,United States,Seattle,Washington,TEC-PH-10002923,Technology,"Logitech B530 USB Headset - headset - Full size, Binaural"
Phones,88.77600000000001,West,CA-2019-158071,Standard Class,BD-11320,Bill Donatelli,Consumer,United States,Seattle,Washington,TEC-PH-10002923,Technology,"Logitech B530 USB Headset - headset - Full size, Binaural"
Phones,91.96,West,US-2018-126452,Standard Class,SC-20230,Scot Coram,Corporate,United States,Los Angeles,California,TEC-PH-10003555,Technology,Motorola HK250 Universal Bluetooth Headset
Phones,95.76,West,CA-2018-103891,Standard Class,KH-16690,Kristen Hastings,Corporate,United States,Los Angeles,California,TEC-PH-10000149,Technology,Cisco SPA525G2 IP Phone - Wireless
Phones,95.84,West,CA-2019-107748,Second Class,AG-10330,Alex Grayson,Consumer,United States,Stockton,California,TEC-PH-10003215,Technology,Jackery Bar Premium Fast-charging Portable Charger
Phones,95.84,West,CA-2019-130764,First Class,JO-15145,Jack O'Briant,Corporate,United States,San Francisco,California,TEC-PH-10003215,Technology,Jackery Bar Premium Fast-charging Portable Charger
Phones,103.19200000000001,West,CA-2019-105487,Standard Class,CS-12250,Chris Selesnick,Corporate,United States,San Diego,California,TEC-PH-10001336,Technology,Digium D40 VoIP phone
Phones,105.584,West,CA-2016-110555,Standard Class,MM-18055,Michelle Moray,Consumer,United States,Great Falls,Montana,TEC-PH-10000586,Technology,AT&T SB67148 SynJ
Phones,105.584,West,CA-2017-156146,Second Class,AG-10495,Andrew Gjertsen,Corporate,United States,Peoria,Arizona,TEC-PH-10001700,Technology,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
Phones,105.584,West,CA-2018-159730,Standard Class,SJ-20125,Sanjit Jacobs,Home Office,United States,Seattle,Washington,TEC-PH-10002085,Technology,Clarity 53712
Phones,105.584,West,CA-2019-145233,Standard Class,DV-13465,Dianna Vittorini,Consumer,United States,Denver,Colorado,TEC-PH-10000586,Technology,AT&T SB67148 SynJ
Phones,107.88,West,CA-2019-119011,Standard Class,LR-17035,Lisa Ryan,Corporate,United States,San Francisco,California,TEC-PH-10003171,Technology,Plantronics Encore H101 Dual Earpieces Headset
Phones,107.88,West,US-2019-107888,First Class,CC-12220,Chris Cortes,Consumer,United States,Seattle,Washington,TEC-PH-10003171,Technology,Plantronics Encore H101 Dual Earpieces Headset
Phones,107.984,West,CA-2018-155474,Standard Class,CC-12220,Chris Cortes,Consumer,United States,Seattle,Washington,TEC-PH-10001580,Technology,Logitech Mobile Speakerphone P710e - speaker phone
Phones,108.576,West,US-2018-144211,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Englewood,Colorado,TEC-PH-10002890,Technology,AT&T 17929 Lendline Telephone
Phones,109.59200000000001,West,CA-2018-129238,Standard Class,SC-20050,Sample Company A,Home Office,United States,Los Angeles,California,TEC-PH-10004120,Technology,AT&T 1080 Phone
Phones,110.352,West,CA-2017-118871,Second Class,HM-14860,Harry Marie,Corporate,United States,Los Angeles,California,TEC-PH-10000193,Technology,Jensen SMPS-640 - speaker phone
Phones,110.352,West,CA-2019-104619,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,San Jose,California,TEC-PH-10000193,Technology,Jensen SMPS-640 - speaker phone
Phones,110.376,West,CA-2018-109953,Standard Class,RB-19360,Raymond Buch,Consumer,United States,San Francisco,California,TEC-PH-10004093,Technology,Panasonic Kx-TS550
Phones,111.984,West,CA-2017-120103,Standard Class,MS-17365,Maribeth Schnelling,Consumer,United States,Phoenix,Arizona,TEC-PH-10002170,Technology,ClearSounds CSC500 Amplified Spirit Phone Corded phone
Phones,117.57600000000002,West,CA-2016-155264,Second Class,RP-19270,Rachel Payne,Corporate,United States,San Francisco,California,TEC-PH-10001305,Technology,Panasonic KX TS208W Corded phone
Phones,119.96,West,CA-2019-118864,Second Class,KH-16690,Kristen Hastings,Corporate,United States,Los Angeles,California,TEC-PH-10001809,Technology,Panasonic KX T7736-B Digital phone
Phones,125.944,West,US-2017-136427,First Class,JM-16195,Justin MacKendrick,Consumer,United States,Aurora,Colorado,TEC-PH-10002070,Technology,Griffin GC36547 PowerJolt SE Lightning Charger
Phones,125.97600000000001,West,CA-2017-140144,Second Class,SC-20770,Stewart Carmichael,Corporate,United States,San Francisco,California,TEC-PH-10002726,Technology,netTALK DUO VoIP Telephone Service
Phones,126.56,West,CA-2019-151008,First Class,JM-16195,Justin MacKendrick,Consumer,United States,Draper,Utah,TEC-PH-10002807,Technology,Motorla HX550 Universal Bluetooth Headset
Phones,128.744,West,CA-2019-108574,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Los Angeles,California,TEC-PH-10003555,Technology,Motorola HK250 Universal Bluetooth Headset
Phones,135.984,West,CA-2017-134117,Second Class,PG-18895,Paul Gonzalez,Consumer,United States,Los Angeles,California,TEC-PH-10004908,Technology,Panasonic KX TS3282W Corded phone
Phones,139.8,West,CA-2016-123855,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Los Angeles,California,TEC-PH-10000215,Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C
Phones,139.94400000000002,West,US-2017-156496,Standard Class,WB-21850,William Brown,Consumer,United States,Redmond,Oregon,TEC-PH-10004188,Technology,OtterBox Commuter Series Case - Samsung Galaxy S4
Phones,140.376,West,CA-2017-141012,Second Class,TG-21640,Trudy Glocke,Consumer,United States,Pocatello,Idaho,TEC-PH-10004522,Technology,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black
Phones,140.736,West,CA-2019-106859,Second Class,BF-11215,Benjamin Farhat,Home Office,United States,Albuquerque,New Mexico,TEC-PH-10004531,Technology,OtterBox Commuter Series Case - iPhone 5 & 5s
Phones,143.64000000000001,West,CA-2016-124737,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Denver,Colorado,TEC-PH-10000149,Technology,Cisco SPA525G2 IP Phone - Wireless
Phones,143.952,West,CA-2019-166898,Second Class,KH-16630,Ken Heidel,Corporate,United States,Santa Ana,California,TEC-PH-10002564,Technology,OtterBox Defender Series Case - Samsung Galaxy S4
Phones,143.976,West,CA-2017-139164,Standard Class,CS-12355,Christine Sundaresam,Consumer,United States,Long Beach,California,TEC-PH-10003931,Technology,JBL Micro Wireless Portable Bluetooth Speaker
Phones,146.952,West,CA-2018-151148,Same Day,PO-19180,Philisse Overcash,Home Office,United States,Louisville,Colorado,TEC-PH-10001870,Technology,Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5
Phones,148.48,West,CA-2019-123491,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,TEC-PH-10003505,Technology,Geemarc AmpliPOWER60
Phones,155.976,West,CA-2016-148915,Standard Class,ND-18370,Natalie DeCherney,Consumer,United States,Portland,Oregon,TEC-PH-10000673,Technology,Plantronics Voyager Pro HD - Bluetooth Headset
Phones,156.79200000000003,West,CA-2019-121125,Standard Class,MG-17890,Michael Granlund,Home Office,United States,Tigard,Oregon,TEC-PH-10001619,Technology,LG G3
Phones,156.79200000000003,West,US-2018-169040,Standard Class,GT-14710,Greg Tran,Consumer,United States,Seattle,Washington,TEC-PH-10002310,Technology,Plantronics Calisto P620-M USB Wireless Speakerphone System
Phones,159.96000000000004,West,US-2019-155999,Standard Class,JK-15370,Jay Kimmel,Consumer,United States,San Diego,California,TEC-PH-10000439,Technology,GE DSL Phone Line Filter
Phones,159.96800000000002,West,CA-2018-100993,Standard Class,AZ-10750,Annie Zypern,Consumer,United States,San Diego,California,TEC-PH-10001448,Technology,Anker Astro 15000mAh USB Portable Charger
Phones,159.984,West,US-2018-151862,Standard Class,ON-18715,Odella Nelson,Corporate,United States,Denver,Colorado,TEC-PH-10003535,Technology,RCA ViSYS 25423RE1 Corded phone
Phones,160.776,West,CA-2019-161809,Standard Class,TH-21100,Thea Hendricks,Consumer,United States,Los Angeles,California,TEC-PH-10004922,Technology,RCA Visys Integrated PBX 8-Line Router
Phones,164.79200000000003,West,US-2019-120147,Same Day,TB-21400,Tom Boeckenhauer,Consumer,United States,Los Angeles,California,TEC-PH-10002447,Technology,AT&T CL83451 4-Handset Telephone
Phones,165.60000000000002,West,CA-2018-167241,Standard Class,BD-11320,Bill Donatelli,Consumer,United States,Los Angeles,California,TEC-PH-10004614,Technology,AT&T 841000 Phone
Phones,167.96800000000002,West,CA-2016-106376,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,TEC-PH-10002726,Technology,netTALK DUO VoIP Telephone Service
Phones,167.976,West,CA-2019-164707,Second Class,CV-12805,Cynthia Voltz,Corporate,United States,Los Angeles,California,TEC-PH-10001924,Technology,iHome FM Clock Radio with Lightning Dock
Phones,173.65600000000003,West,US-2016-138247,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Los Angeles,California,TEC-PH-10000213,Technology,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black
Phones,177.48000000000002,West,CA-2018-103107,Same Day,RB-19465,Rick Bensley,Home Office,United States,Seattle,Washington,TEC-PH-10001198,Technology,Avaya 4621SW VoIP phone
Phones,177.48000000000002,West,US-2018-139710,Standard Class,GM-14680,Greg Matthias,Consumer,United States,Los Angeles,California,TEC-PH-10001198,Technology,Avaya 4621SW VoIP phone
Phones,183.96,West,CA-2019-162978,Standard Class,LW-16990,Lindsay Williams,Corporate,United States,San Francisco,California,TEC-PH-10003092,Technology,Motorola L804
Phones,191.976,West,CA-2016-110786,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,TEC-PH-10001425,Technology,Mophie Juice Pack Helium for iPhone
Phones,191.976,West,CA-2019-143378,Standard Class,JR-16210,Justin Ritter,Corporate,United States,Springfield,Oregon,TEC-PH-10001425,Technology,Mophie Juice Pack Helium for iPhone
Phones,195.96000000000004,West,CA-2019-145765,Standard Class,CM-11815,Candace McMahon,Corporate,United States,Phoenix,Arizona,TEC-PH-10001305,Technology,Panasonic KX TS208W Corded phone
Phones,196.776,West,CA-2019-154116,Standard Class,KM-16660,Khloe Miller,Consumer,United States,Inglewood,California,TEC-PH-10000675,Technology,Panasonic KX TS3282B Corded phone
Phones,196.776,West,CA-2019-163902,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Los Angeles,California,TEC-PH-10000675,Technology,Panasonic KX TS3282B Corded phone
Phones,201.568,West,CA-2017-122826,Second Class,RD-19480,Rick Duston,Consumer,United States,Olympia,Washington,TEC-PH-10004830,Technology,Pyle PRT45 Retro Home Telephone
Phones,201.584,West,CA-2016-156349,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Los Angeles,California,TEC-PH-10000441,Technology,VTech DS6151
Phones,201.584,West,CA-2018-161928,Second Class,AC-10660,Anna Chung,Consumer,United States,San Francisco,California,TEC-PH-10003484,Technology,Ooma Telo VoIP Home Phone System
Phones,201.584,West,CA-2019-123001,Standard Class,AW-10840,Anthony Witt,Consumer,United States,Bakersfield,California,TEC-PH-10003484,Technology,Ooma Telo VoIP Home Phone System
Phones,201.584,West,US-2017-122910,Standard Class,LT-16765,Larry Tron,Consumer,United States,Louisville,Colorado,TEC-PH-10000441,Technology,VTech DS6151
Phones,201.584,West,US-2019-155425,First Class,AB-10600,Ann Blume,Corporate,United States,Tucson,Arizona,TEC-PH-10002563,Technology,Adtran 1202752G1
Phones,203.184,West,CA-2018-158834,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,TEC-PH-10001254,Technology,Jabra BIZ 2300 Duo QD Duo Corded Headset
Phones,203.976,West,CA-2018-164399,First Class,DW-13480,Dianna Wilson,Home Office,United States,San Diego,California,TEC-PH-10004908,Technology,Panasonic KX TS3282W Corded phone
Phones,206.38400000000001,West,CA-2019-167640,Standard Class,FC-14245,Frank Carlisle,Home Office,United States,San Francisco,California,TEC-PH-10001336,Technology,Digium D40 VoIP phone
Phones,211.168,West,CA-2016-162992,First Class,BP-11095,Bart Pistole,Corporate,United States,Los Angeles,California,TEC-PH-10002085,Technology,Clarity 53712
Phones,211.168,West,CA-2018-148852,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Santa Ana,California,TEC-PH-10003885,Technology,Cisco SPA508G
Phones,211.168,West,CA-2018-151092,Standard Class,VG-21790,Vivek Gonzalez,Consumer,United States,Los Angeles,California,TEC-PH-10001700,Technology,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
Phones,211.168,West,US-2019-117534,First Class,CV-12295,Christina VanderZanden,Consumer,United States,Fresno,California,TEC-PH-10000141,Technology,Clearsounds A400
Phones,213.48000000000002,West,CA-2016-143336,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,TEC-PH-10001949,Technology,Cisco SPA 501G IP Phone
Phones,215.968,West,CA-2019-105809,First Class,HW-14935,Helen Wasserman,Corporate,United States,San Diego,California,TEC-PH-10001580,Technology,Logitech Mobile Speakerphone P710e - speaker phone
Phones,217.58400000000003,West,CA-2017-139164,Standard Class,CS-12355,Christine Sundaresam,Consumer,United States,Long Beach,California,TEC-PH-10002468,Technology,"Plantronics CS 50-USB - headset - Convertible, Monaural"
Phones,219.168,West,CA-2016-166471,Standard Class,MG-17650,Matthew Grinstein,Home Office,United States,Seattle,Washington,TEC-PH-10000038,Technology,Jawbone MINI JAMBOX Wireless Bluetooth Speaker
